Strain ,Day,Media ,Plate_type,CFU,Dilution_factor ,Cells/mL (10^6)
BG99-yH298-cta1::GFP,Day1_3,SCD -cmu,YPD ,75,10^6,375
BG99-yH298-cta1::GFP,Day1_3,SCD -cmu,SCD-Ura,25,10^6,125
BG99-yH298-cta1::GFP,Day1_3,SCD -cmu,SCD+NAT+5FOA ,23,10^3,0.115
BG99-yH298-cta1::GFP,Day1_3_control ,SCD -cmu,YPD ,112,10^6,560
BG99-yH298-cta1::GFP,Day1_3_control ,SCD -cmu,SCD-Ura,24,10^6,120
BG99-yH298-cta1::GFP,Day1_3_control ,SCD -cmu,SCD+NAT+5FOA ,1,10^2,0.0005
BG99-yH298-cta1::GFP,Day 4 ,SCD-0,YPD ,0,0,0
BG99-yH298-cta1::GFP,Day 4 ,SCD-0,SCD-Ura,0,0,0
BG99-yH298-cta1::GFP,Day 4 ,SCD-0,SCD+NAT+5FOA ,0,0,0
BG99-yH298-cta1::GFP,Day 5 ,SCD-0+NAT+5FOA (1:1),YPD ,88,10^5,44
BG99-yH298-cta1::GFP,Day 5 ,SCD-0+NAT+5FOA (1:1),SCD-Ura,4,10^5,2
BG99-yH298-cta1::GFP,Day 5 ,SCD-0+NAT+5FOA (1:1),SCD+NAT+5FOA ,12,10^4,0.6
BG99-yH298-cta1::GFP,Day 6 ,SCD-0+NAT+5FOA (1:1),YPD ,2,10^5,1
BG99-yH298-cta1::GFP,Day 6 ,SCD-0+NAT+5FOA (1:1),SCD-Ura,0,10^5,0
BG99-yH298-cta1::GFP,Day 6 ,SCD-0+NAT+5FOA (1:1),SCD+NAT+5FOA ,3,10^5,1.5
BG99-yH298-cta1::GFP,Day 7 ,SCD+NAT+5FOA (1:10),YPD ,152,10^5,76
BG99-yH298-cta1::GFP,Day 7 ,SCD+NAT+5FOA (1:10),SCD-Ura,0,10^5,0
BG99-yH298-cta1::GFP,Day 7 ,SCD+NAT+5FOA (1:10),SCD+NAT+5FOA ,99,10^5,49.5
,,,,,,
,,,,,,
BG99-yH299-cta1::GFP,Day1_3,SCD -cmu,YPD ,88,10^6,440
BG99-yH299-cta1::GFP,Day1_3,SCD -cmu,SCD-Ura,29,10^6,145
BG99-yH299-cta1::GFP,Day1_3,SCD -cmu,SCD+NAT+5FOA ,28,10^3,0.14
BG99-yH299-cta1::GFP,Day1_3_control ,SCD -cmu,YPD ,105,10^6,525
BG99-yH299-cta1::GFP,Day1_3_control ,SCD -cmu,SCD-Ura,69,10^6,345
BG99-yH299-cta1::GFP,Day1_3_control ,SCD -cmu,SCD+NAT+5FOA ,28,10^2,0.014
BG99-yH299-cta1::GFP,Day 4 ,SCD-0,YPD ,0,0,0
