Geneid	CaB41	CaB44	Ca15m1	Ca15m2	Ca30m1	Ca30m2	Ca45m1	Ca45m2	Ca1h1	Ca1h2	Ca1-5h1	Ca1-5h2	Ca2h1	Ca2h4	Ca2-5h1	Ca2-5h4	Ca3h1	Ca3h2	Ca3-5h1	Ca3-5h4	Ca4h1	Ca4h3	Ca6h1	Ca6h3	Ca8h1	Ca8h2
W5Q_00175	456	505	934	609	746	745	744	678	718	582	684	550	822	606	927	733	930	908	693	858	806	999	892	1015	882	799
W5Q_00108	585	611	1699	1108	2067	2074	1879	1751	1018	849	357	309	229	178	410	340	645	476	468	507	536	581	730	738	834	808
W5Q_00575	1340	1273	2400	1681	431	504	438	434	544	504	905	686	1048	859	1281	971	1281	1197	815	964	940	1035	1158	1077	1130	1345
W5Q_01324	207	186	212	114	168	194	196	184	237	218	282	228	326	280	267	265	272	237	185	257	196	241	170	249	180	167
W5Q_01125	28	31	35	22	7	7	15	18	8	10	16	27	32	24	29	21	16	29	24	24	26	21	35	37	33	36
W5Q_00764	586	611	1192	801	799	777	699	669	617	641	536	419	551	380	562	435	570	363	289	474	398	413	462	427	410	392
W5Q_00675	4226	4304	7462	5283	10206	10111	9285	8905	7729	6611	3618	3011	2251	1802	2355	1882	2923	2419	2014	2477	2191	2538	2618	2746	2526	2561
W5Q_00827	14208	14833	6174	4193	2588	2332	3005	2583	3118	2697	3500	2576	3942	3096	4212	3172	3960	2839	2100	2589	2049	2222	2010	1797	1788	1729
W5Q_00493	642	668	5639	3661	5583	5607	4849	4602	2693	2114	939	655	840	716	1935	1386	2588	2310	1743	2233	2008	2151	2119	2121	1928	1982
W5Q_00708	91	106	182	127	190	194	152	138	144	113	139	92	138	113	142	109	155	180	121	142	106	164	197	154	162	224
W5Q_01237	4475	4784	10393	6877	14671	15019	12720	11831	9751	8992	4979	3645	2419	1952	2742	1945	3063	2620	1955	2558	2165	2453	2522	2503	2435	2589
W5Q_00536	164	168	2545	1662	2119	2109	2117	1804	1076	1009	390	311	318	289	705	524	1047	773	658	746	774	862	868	818	787	885
W5Q_01292	120	114	711	408	447	444	389	415	289	249	180	115	160	151	318	186	301	268	255	310	263	301	268	315	265	273
W5Q_00619	262	266	788	563	539	503	424	380	327	262	301	215	303	211	407	326	535	433	392	423	426	525	592	517	584	485
W5Q_00794	821	810	917	643	335	334	279	258	315	271	364	323	459	347	569	379	564	436	319	461	407	440	443	347	411	415
W5Q_00841	11196	12164	11359	7734	9931	10507	10230	10335	14638	14160	25319	20854	25490	20192	22325	15718	16800	12851	8269	9639	8275	9227	7848	7011	6187	6108
W5Q_00015	10900	11310	10681	7959	14014	14912	950	900	2378	2657	2109	1551	1378	1028	1436	1180	1433	889	996	1190	1373	1430	1567	1502	1300	1315
W5Q_00105	1057	1057	7437	5227	9658	9299	8377	7589	4855	3905	1399	1177	1294	1159	2703	2210	4364	3333	2677	3289	3235	3313	3426	3424	3090	3246
W5Q_00280	1021	1010	1477	974	1326	1274	1290	1133	934	759	712	610	730	655	1032	715	1042	934	765	814	785	912	947	820	849	892
W5Q_01217	227	257	2493	1675	1955	2010	1574	1394	898	634	360	283	392	301	885	612	1211	1047	807	1031	913	1028	1188	1058	1067	1187
W5Q_00298	624	647	320	241	582	659	650	604	914	849	723	554	769	565	616	440	472	425	284	355	218	281	245	216	201	185
W5Q_00496	118	113	129	92	123	123	87	81	60	48	94	69	75	72	165	95	125	131	112	118	101	142	130	121	169	168
W5Q_00130	252	298	2258	1587	3330	3215	2426	2174	1157	980	294	255	168	112	421	318	758	550	515	578	680	685	739	646	753	753
W5Q_00478	417	421	917	679	981	935	1181	994	1282	966	846	607	483	401	405	289	362	360	273	345	264	300	272	238	280	214
W5Q_00148	1046	1093	1750	1157	1397	1400	1500	1384	1568	1413	1312	933	1456	1037	1086	918	990	1051	859	927	672	935	648	851	755	661
W5Q_00804	53428	56251	86143	58341	42372	43616	41918	41086	47462	43322	49570	42588	48470	38338	55571	38170	55216	40149	31813	36864	37663	39676	41604	38730	33363	36867
W5Q_00521	988	1078	5292	3643	3214	3268	2344	2132	1854	1569	1440	1104	1413	1129	1882	1172	1618	1296	1046	1162	1214	1173	1166	1069	1164	1227
W5Q_01001	34	32	27	22	1	4	1	2	11	3	8	1	15	7	5	12	11	8	10	9	2	6	5	2	3	6
W5Q_00741	235	233	228	158	114	123	92	96	52	59	56	45	50	42	75	35	46	28	36	38	36	45	47	38	47	75
W5Q_00737	131	100	212	125	147	183	146	136	151	150	153	124	169	123	168	106	190	145	103	123	131	147	150	115	132	124
W5Q_00908	2	1	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
W5Q_00947	1214	1074	3223	2221	2234	2313	2108	2002	1717	1481	1074	971	997	779	1212	858	1346	1087	831	1133	900	1065	1003	982	992	884
W5Q_01216	4	12	2	1	7	5	2	2	1	2	4	3	3	8	12	2	6	9	7	6	10	5	7	16	9	18
W5Q_01382	4435	4798	3005	2142	1297	1428	1262	1241	1262	1218	2040	1700	1835	1685	2007	1474	1928	1778	1298	1737	1661	1933	1938	1999	1889	1919
W5Q_00805	3441	3847	7512	5302	3291	3490	3003	2919	3759	3369	5748	4117	6649	5448	5723	4504	5348	4784	3749	4524	3709	4577	3662	3387	3556	3627
