Geneid	KlB41	KlB42	Kl15m3	Kl15m4	Kl30m3	Kl30m4	Kl45m3	Kl45m4	Kl1h3	Kl1h4	Kl1_5h3	Kl1_5h4	kl2h2	Kl2h4	Kl2_5h1	Kl2_5h2	Kl3h3	Kl3h4	Kl3_5h3	Kl3_5h4	Kl4h3	Kl4h4	Kl6h3	Kl6h4	Kl8h3	Kl8h4
KLLA0_A00110g	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
KLLA0_A00132g	15	20	11	11	6	8	14	16	43	47	64	94	173	151	169	191	246	218	260	209	234	267	196	237	154	156
KLLA0_A00143g	1	2	0	2	3	1	3	0	1	8	13	15	20	14	20	8	14	29	15	18	10	17	13	15	14	6
KLLA0_A00154g	33	25	23	17	4	9	2	2	54	43	272	401	265	380	242	213	658	527	497	441	416	406	217	327	82	108
KLLA0_A00176g	63	90	67	39	1008	834	12081	10216	40027	33370	32972	37547	46390	40343	40377	41549	58064	51832	57544	44165	54979	55867	63663	94687	62890	79759
KLLA0_A00198g	407	473	157	165	227	173	313	294	522	599	500	578	635	586	545	610	831	713	856	706	839	904	944	1441	1299	1267
KLLA0_A00220g	3251	3420	1755	1582	172	120	492	548	4473	4269	5490	6063	6856	5415	5391	5113	6866	5711	6284	5015	5831	6065	4898	8222	5642	5709
KLLA0_A00242g	1823	2045	5182	4513	1066	1247	1317	799	458	425	772	869	1250	1325	1001	1050	1550	1201	1590	1306	1483	1520	796	1210	652	628
KLLA0_A00264g	6441	7426	5917	5343	2418	2045	2808	3552	7536	8163	9119	10288	13676	11077	10972	11232	15540	12326	14691	12260	14548	15411	11706	19362	14918	13266
KLLA0_A00286g	2135	2530	2371	1877	1572	1415	2165	1666	3182	3097	3076	3458	3006	2624	2372	2481	3126	2565	3045	2632	2718	2775	2564	3437	1896	2196
KLLA0_A00308r	2	4	1	5	2	1	3	3	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	2	0	0
KLLA0_A00352g	1228	1467	1119	1008	1854	1909	2837	2827	5245	4616	5091	5859	5314	4595	3372	3188	3972	3331	3128	2442	2758	2610	1682	2920	1689	1612
KLLA0_A00374g	6569	8278	5760	5009	11861	12706	17596	15296	31323	27746	26806	31069	24738	22909	14748	14321	16518	13877	12090	10024	10617	10356	7059	10711	6055	6540
KLLA0_A00396g	1249	1319	813	678	497	543	1096	948	1853	1814	1340	1538	1336	1197	1064	1068	1407	1084	1311	1117	1204	1293	1102	1485	1185	1285
KLLA0_A00418g	13801	16718	4390	3806	2463	2244	3734	2872	6488	6494	5893	6475	6114	5739	5470	5867	7369	6070	6482	5649	6358	6765	4682	6911	4210	4634
KLLA0_A00440g	992	1149	500	459	913	842	1142	1010	1427	1254	801	827	898	655	660	683	957	793	999	768	949	975	824	1227	843	867
KLLA0_A00462g	791	863	482	382	203	172	503	533	1290	1251	1025	1160	1181	1010	977	1045	1214	1108	1081	949	1020	1036	879	1262	836	903
KLLA0_A00484g	3190	3384	1128	893	322	340	841	694	1587	1444	2041	2205	2554	2316	2174	2339	2732	2360	2730	2114	2563	2571	2270	3847	2954	3152
KLLA0_A00506g	264	308	385	339	71	67	52	47	137	158	193	230	334	228	236	210	290	268	278	239	284	279	222	385	277	285
KLLA0_A00528g	5031	4926	3111	2521	3059	2785	3571	2835	3954	3902	3323	3908	4254	3765	3346	3789	4455	3795	4444	3709	4189	4345	4597	6709	5126	6361
KLLA0_A00539g	324	418	386	333	735	637	740	622	894	811	651	736	787	609	568	588	794	622	699	552	651	701	646	997	621	604
KLLA0_A00550g	906	1084	248	206	221	192	592	563	2072	1992	1886	2189	2754	2194	2040	2318	2801	2343	2497	2065	2496	2362	2143	3359	2275	2359
KLLA0_A00572g	989	1057	1084	884	1194	1033	1150	944	1431	1274	1241	1423	1586	1392	1259	1321	1668	1345	1549	1284	1476	1463	1408	1849	1373	1579
KLLA0_A00594g	4478	4819	3831	3234	5092	4549	5957	4663	6401	6378	4014	4755	4081	3777	2861	3101	3167	3074	3162	2720	2916	2942	2649	3710	2485	2815
KLLA0_A00616g	24075	32044	31755	30269	65658	61586	58768	47914	40379	37058	6956	7703	2830	2296	1869	1804	2881	2267	2792	2276	3083	3027	3141	5671	4380	4069
KLLA0_A00638g	1418	1447	1675	1329	1902	1734	1875	1379	1564	1575	1226	1360	1520	1354	1186	1249	1460	1237	1541	1219	1329	1367	1406	1841	1404	1770
