Geneid	KlB41	KlB42	Kl15m3	Kl15m4	Kl30m3	Kl30m4	Kl45m3	Kl45m4	Kl1h3	Kl1h4	Kl1-5h3	Kl1-5h4	kl2h2	Kl2h4	Kl2-5h1	Kl2-5h2	Kl3h3	Kl3h4	Kl3-5h3	Kl3-5h4	Kl4h3	Kl4h4	Kl6h3	Kl6h4	Kl8h3											Kl8h4
KDRO_A00110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											0
KDRO_A00120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											0
KDRO_A00130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											0
KDRO_A00140	2	6	16	12	17	6	2	10	6	10	4	13	7	4	6	2	12	11	8	10	11	6	7	6	11											9
KDRO_A00150	20	25	32	34	24	17	26	22	40	56	68	54	83	62	74	69	85	67	108	78	75	84	52	100	60											66
KDRO_A00170	252	252	216	188	227	249	354	322	560	613	558	695	550	514	490	482	770	537	753	658	695	731	686	973	862											807
KDRO_A00180	1	1	1	0	0	0	1	0	5	0	0	0	4	0	1	1	0	0	2	1	2	1	0	3	1											1
KDRO_A00190	1515	1781	1987	1712	2359	2244	1967	1576	1862	1700	1299	1408	1528	1315	1265	1280	1686	1322	1484	1259	1513	1552	1317	2083	1507											1416
KDRO_A00200	495	601	477	439	674	566	565	494	563	547	401	431	583	488	436	476	569	487	564	475	494	562	485	746	544											553
KDRO_A00210	388	486	386	349	178	178	295	274	582	566	651	767	891	705	742	764	884	707	815	616	774	932	810	1237	862											870
KDRO_A00220	443	567	365	317	419	381	419	353	588	556	449	595	716	618	613	556	772	670	784	557	764	747	726	1297	935											998
KDRO_A00230	195	224	283	270	348	283	299	264	306	292	208	257	290	190	246	241	289	234	291	225	322	302	272	452	282											302
KDRO_A00240	3135	3747	3237	2939	5771	5289	5688	4560	5513	5099	3975	4353	5154	4223	4158	4173	5230	4414	4837	4138	4822	4998	4070	6756	4467											4896
KDRO_A00250	837	767	508	483	626	624	1137	936	2215	2010	1676	1829	2263	1866	1863	1951	2572	2031	2420	2066	2487	2572	2182	3468	2657											2801
KDRO_A00260	1555	1903	1402	1292	1758	1584	1871	1543	2565	2490	1837	2196	2344	1934	2052	1858	2475	2020	2301	1811	2174	2287	1944	3308	2102											2327
KDRO_A00270	405	441	578	448	660	566	602	529	822	744	734	846	1167	1034	891	939	1200	1057	1177	1001	1184	1145	1074	1422	1062											1346
KDRO_A00280	261	298	408	387	478	465	487	380	541	597	490	583	763	636	682	645	828	770	808	679	849	932	896	1562	1072											1107
KDRO_A00290	1600	1615	984	743	246	240	451	422	2567	2482	3849	4692	6146	5181	5282	5296	7138	6371	7193	5955	7141	7450	6373	10742	6852											7386
KDRO_A00300	2093	2410	1803	1596	1512	1347	2409	1976	3516	3607	3032	3466	2681	2356	2166	2177	2707	2384	2487	2072	2134	2297	1977	2398	1246											1408
KDRO_A00310	307	392	285	238	391	381	357	327	451	352	295	317	377	335	346	353	453	360	416	305	432	412	373	636	408											453
KDRO_A00320	319	364	276	231	292	282	310	242	444	383	439	505	647	563	508	548	638	546	606	539	589	611	441	871	572											481
KDRO_Atrna1K	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0											0
KDRO_A00330	686	825	1152	1007	1590	1456	1205	874	794	708	378	441	406	321	365	291	438	351	401	351	417	473	389	633	406											456
KDRO_A00340	2615	2802	2812	2236	3962	3596	3755	2792	3312	3089	1948	2321	2091	1951	1808	1837	2177	1885	1989	1789	1941	1906	1843	2589	1983											2276
KDRO_A00350	1313	1407	1917	1535	1833	1759	1812	1665	2230	2197	1745	1969	1912	1676	1574	1593	1928	1617	1818	1569	1611	1719	1613	1935	1619											1703
KDRO_A00360	998	1159	971	761	971	804	903	865	1440	1431	1321	1441	1678	1284	1287	1485	1764	1411	1676	1393	1624	1736	1610	2094	1762											1813
KDRO_A00370	3836	4539	3663	3188	7210	6609	6256	5231	5501	5136	4180	4610	5873	4717	4590	4430	5521	4408	4678	3929	4256	4353	3298	4961	3313											3469
KDRO_A00380	2371	2911	3276	2777	5025	4372	6144	4822	6226	5708	2682	3232	2518	2094	2043	2046	2573	2217	2467	2069	2480	2366	2712	3617	3275											3751
KDRO_A00390	482	507	1873	1568	1234	1070	713	557	724	739	479	668	705	583	541	607	784	650	789	640	770	773	655	1023	786											816
KDRO_A00400	1745	1980	2134	1892	2026	1926	1884	1485	2208	2122	1473	1626	1487	1201	1142	1125	1269	986	1223	1015	1141	1113	915	1577	1246											1092
KDRO_A00420	1615	1806	1275	1066	411	369	649	676	2906	2694	3178	3690	4259	3772	3504	3692	5157	4451	4981	4101	4853	4851	4426	6907	5123											5644
KDRO_A00430	1289	1551	1828	1658	1660	1691	1321	1061	1279	1269	914	1054	925	867	697	665	913	747	794	650	756	829	745	998	870											919
KDRO_A00440	2771	3266	4324	3741	7987	7313	7371	5542	5833	5176	3143	3459	2939	2447	2004	1988	2420	2093	2069	1681	1927	1953	1682	2544	1994											2188
KDRO_A00450	4569	5345	3402	2702	2096	1966	4047	3735	6705	6472	5668	6845	6704	6144	5567	5912	7702	6065	7612	6256	6941	7260	6493	9055	8056											8574
KDRO_A00460	1008	1119	940	822	664	657	789	630	1036	1018	782	955	972	765	667	641	869	770	750	625	780	794	637	1034	501											511
KDRO_A00470	37	61	41	35	18	22	25	25	36	41	49	47	72	40	35	46	35	30	23	27	25	32	15	33	38											11
KDRO_A00480	1475	1594	941	761	906	908	1304	1018	1601	1554	1367	1566	1621	1434	1367	1289	1708	1472	1605	1296	1634	1700	1248	1954	1217											1327
KDRO_A00490	873	1011	654	568	590	506	882	854	1746	1572	1678	1778	1925	1655	1543	1464	2027	1568	1789	1404	1703	1768	1389	2103	1432											1467
KDRO_A00500	762	667	772	637	639	579	686	688	1334	1129	1166	1298	1595	1292	1260	1232	1525	1254	1412	1157	1346	1346	1039	1824	1103											1203
KDRO_A00510	786	938	414	352	498	433	731	710	1289	1307	1622	1816	2632	2448	2297	2307	3050	2408	3189	2596	2983	3057	2701	3663	3642											3302
KDRO_A00520	5116	5133	3120	2479	5199	5319	6671	4063	6345	6260	3668	4393	3193	3020	2262	2434	2714	2044	2614	2335	2248	2272	1880	2620	2179											2047
KDRO_A00530	1800	2199	2156	1725	2688	2570	2702	2163	2392	2411	1205	1455	1364	1169	1007	1171	1458	1269	1418	1265	1450	1471	1347	1980	1399											1374
KDRO_A00540	2112	2399	1983	1659	2874	2652	3088	2589	4067	3948	2926	3257	3471	2783	2644	2666	3434	2736	3145	2681	2943	2991	2269	3643	2319											2332
KDRO_A00550	698	740	703	576	836	759	940	752	1077	1074	830	1050	1241	1009	979	995	1258	1052	1153	960	1143	1064	980	1412	1205											1198
KDRO_A00560	1797	2004	9228	7368	14067	13211	5559	3338	208	226	290	325	1144	989	1198	1223	1344	1314	1430	1126	1265	1372	1308	1721	1569											1606
KDRO_A00570	899	1251	1627	1426	2800	2560	1801	1391	1112	1033	712	761	883	707	706	606	828	757	741	647	828	845	756	1202	855											915
KDRO_A00580	3030	2861	1630	1421	978	794	2856	3407	14071	14597	9796	10534	6788	5983	4322	4945	5904	4422	5839	5277	5723	5688	4388	6501	7189											5796
KDRO_A00590	1010	1037	1568	1251	1042	794	1112	1032	1588	1602	1147	1212	1410	1087	1057	1113	1169	1032	1293	1052	1264	1277	1091	1582	1405											1400
