Geneid	ScB42	ScB43	Sc30m2	Sc30m4	Sc1h2	Sc1h4	Sc1-5h2	Sc1-5h4	Sc2h2	Sc2h4	Sc2-5h2	Sc2-5h4	Sc3h2	Sc3h4	Sc3-5h2	Sc3-5h4	Sc4h2	Sc4h4	Sc6h2	Sc6h4	Sc8h2	Sc8h4
YAL068C	0	0	0	1	2	0	0	1	0	0	1	3	0	0	0	0	1	0	0	0	0	1
YAL067W-A	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1
YAL067C	32	29	61	40	61	46	57	49	60	59	59	64	72	84	63	97	126	89	179	183	330	275
YAL065C	17	13	26	15	19	16	12	14	15	12	17	14	30	21	31	34	28	18	24	28	28	23
YAL064W-B	19	26	44	35	36	36	20	22	39	32	27	44	50	35	39	46	55	40	58	49	55	30
YAL064C-A	68	56	125	133	93	90	74	67	102	78	91	109	120	123	107	150	147	89	146	143	166	122
YAL064W	2	2	8	5	2	1	3	3	3	3	0	2	1	4	1	6	0	8	6	3	6	2
YAL063C-A	4	6	15	11	21	24	18	21	22	10	19	10	12	3	12	13	20	14	34	29	62	34
YAL063C	252	245	372	453	393	362	406	346	431	423	466	489	660	600	607	723	822	838	1023	1045	1376	1148
YAL062W	260	250	1106	1109	593	665	456	481	643	576	862	815	1180	1036	987	1166	1545	1252	2087	2160	2816	2253
YAL061W	336	339	9863	10744	2251	2091	2092	1703	5156	3740	8018	7393	12174	11547	9870	13126	14778	11610	16763	16790	14093	7948
YAL060W	2035	1934	9927	10435	5209	4991	4505	3699	8261	6059	8882	7925	9680	10250	6892	7708	8191	6933	6948	7387	6418	3800
YAL059W	938	892	212	235	946	799	961	815	631	518	193	334	147	139	210	198	266	264	513	511	1055	902
YAL058W	901	836	1071	1088	1499	1383	1253	1186	1414	1037	1117	1176	1335	1247	1143	1419	1485	1342	1423	1496	1717	1462
YAL056W	1937	1770	2156	2303	2023	1753	1924	1601	2396	1764	2120	2222	2446	2417	2443	2816	3149	2707	3537	3745	4409	3391
YAL055W	318	322	618	716	473	385	411	381	627	477	600	570	736	803	682	883	958	865	1192	1360	1885	1237
YAL054C	299	249	2176	2051	523	497	482	409	643	493	691	678	1036	919	964	1199	1405	1216	1918	1984	2678	1938
YAL053W	2167	2030	2753	2719	3490	3291	2813	2782	3438	2740	2687	3298	3135	3011	2974	3622	3462	3443	2680	3242	3584	3267
YAL051W	830	785	1345	1380	1247	1234	1076	919	1228	925	1117	1213	1338	1259	1146	1352	1537	1262	1628	1618	1861	1484
YAL049C	971	904	2150	2161	2060	1749	1486	1316	1868	1448	2023	2085	2625	2437	2398	2871	3160	2885	3564	3781	4793	3963
YAL048C	546	482	676	665	757	635	659	598	658	512	619	688	736	628	688	736	780	664	707	723	900	651
YAL047C	389	374	438	396	585	484	531	463	565	367	426	515	460	442	427	507	503	484	566	568	636	616
YAL046C	432	404	706	737	818	751	651	677	836	672	630	722	803	657	689	865	835	783	745	805	789	693
YAL044W-A	538	504	716	795	865	832	749	778	846	766	744	796	846	719	756	923	1000	858	1122	1128	1329	1161
YAL044C	2681	2566	5282	5705	7643	6828	5731	5003	7064	6047	6787	6812	8161	7872	6976	8651	7326	7301	4495	5444	4248	4162
YAL043C	1164	1082	1927	2083	2082	1971	1736	1640	1848	1505	1473	1692	1670	1394	1396	1581	1585	1347	1311	1558	1660	1483
YAL042W	5348	4999	6260	6634	6900	6476	6039	5570	7190	5962	5483	6081	5639	5392	5148	5918	5566	5505	4349	4958	4482	4290
YAL041W	1603	1510	2261	2079	2180	2016	1937	1874	2327	1516	1647	1953	1884	1814	1845	2100	1964	1954	1792	1982	2176	1774
YAL040C	1659	1560	1706	1830	1949	1862	1707	1522	2429	1568	1843	2228	2212	2096	1834	2294	2099	2111	1685	2066	1606	2125
YAL039C	616	521	1592	1830	1155	1186	771	686	1194	1058	1319	1385	1755	1547	1354	1897	1760	1700	1517	1764	1860	1668
YAL038W	150150	133646	131966	145491	141424	135153	141909	138072	193177	150250	174029	204175	228827	222139	217720	250818	275163	255562	230932	264032	233103	238001
YAL037C-A	495	531	435	600	510	417	519	515	426	427	380	474	529	460	419	594	718	774	627	791	697	565
YAL037W	105	127	71	59	116	140	124	112	146	120	134	160	198	182	216	229	292	291	326	384	450	417
YAL036C	3062	2888	891	943	3667	3274	3437	3285	2659	2071	927	1426	726	556	720	801	873	972	1065	1302	1788	1600
YAL035W	15315	13008	8880	9658	16858	14398	14488	14027	12579	9426	6508	9285	7026	6187	6251	7630	6810	6843	6281	7424	8045	6333
YAL034W-A	219	230	210	257	351	290	362	339	365	304	241	348	355	273	327	345	344	313	242	279	206	204
YAL034C	509	457	1592	1812	722	736	836	704	1045	750	1260	1264	1667	1726	1518	1801	2136	1781	2668	2634	2711	2008
YAL033W	409	400	294	381	459	405	502	489	533	488	296	325	270	252	245	273	319	270	232	236	365	297
YAL032C	507	441	755	761	656	582	621	586	792	608	558	694	681	656	609	756	814	702	894	943	1164	885
YAL031C	801	718	1451	1482	1036	952	919	867	1308	951	1264	1291	1385	1398	1183	1435	1547	1362	1503	1526	1611	1317
YAL030W	639	649	1748	1955	1210	1196	952	872	1260	1033	1488	1436	1834	1688	1437	1918	1994	1775	1994	2203	2054	1859
YAL029C	3174	2704	2429	2390	3394	3084	3158	2953	3090	2176	1857	2397	1866	1883	1825	2103	2294	2001	1827	2008	2009	1862
YAL028W	330	264	1004	1089	423	421	324	313	670	400	791	770	992	950	783	905	1081	868	1004	1025	971	726
YAL027W	339	334	446	464	359	325	372	302	546	376	466	403	549	439	431	494	545	476	521	584	617	517
YAL026C	2991	2682	2923	2916	3247	2746	3126	2768	3381	2579	2518	2950	2734	2486	2439	2755	2970	2586	2686	2985	3009	2541
YAL025C	2871	2618	530	578	3264	2778	2858	2851	1938	1731	552	972	385	308	378	509	334	441	654	869	1757	1373
YAL024C	780	593	640	686	790	694	967	974	930	638	586	768	611	625	602	618	696	583	438	456	482	520
YAL023C	9432	8303	6771	7443	8373	8208	9956	9537	10703	8392	7069	8438	7137	6423	6135	6959	6826	6436	4632	5071	3398	3771
YAL022C	1571	1356	2222	2146	2334	2173	1774	1574	2357	1871	1604	1824	1788	1589	1555	1889	1768	1609	1316	1530	1418	1466
YAL021C	1503	1377	1857	1860	1815	1631	1676	1586	1902	1282	1427	1615	1558	1545	1366	1576	1855	1713	1482	1676	1525	1519
YAL020C	528	548	945	1039	1030	1035	910	774	1045	872	732	883	656	713	715	906	731	743	859	935	1086	928
YAL019W	2331	2184	1312	1285	3074	2691	2942	2645	2530	1747	1104	1588	944	858	1016	1033	965	1015	1037	1136	1576	1271
YAL018C	1	4	2	3	0	3	2	8	4	6	2	3	5	2	7	8	8	5	12	3	23	16
YAL017W	1630	1445	5159	4956	2273	2100	2333	1944	3435	2293	3265	3534	4163	4018	3285	4069	4395	3757	3951	4250	4787	3064
YAL016W	3303	3051	5545	5694	4285	3826	4132	3612	5291	4079	4284	4740	4844	4704	4158	4975	5180	4618	4250	4848	5105	4086
YAL015C	467	450	1003	1098	951	906	819	741	978	651	815	805	957	873	811	965	964	879	828	893	1015	782
YAL014C	793	692	1068	1156	982	970	821	843	1029	876	877	967	1060	944	826	1110	1012	989	780	966	920	748
YAL013W	813	834	1386	1549	1269	1188	1109	1057	1454	1107	1195	1266	1206	1191	1067	1351	1029	1087	1019	1149	981	767
YAL012W	3943	3530	4142	3691	4531	3404	4614	3233	5035	4175	3249	3148	3004	2689	2405	2528	2275	1974	1195	1239	1645	1314
YAL011W	739	635	698	780	1082	903	925	852	931	655	695	798	826	803	804	1029	947	957	1158	1267	1435	1064
YAL010C	404	440	777	657	652	609	576	508	756	584	691	738	850	767	807	816	861	753	729	881	922	838
YAL009W	645	612	964	1000	843	792	834	702	956	794	851	856	882	857	768	949	918	872	914	1032	1212	994
YAL008W	688	642	2533	2468	1478	1414	1160	984	1653	1246	1937	1865	2613	2316	2142	2768	2856	2648	3055	3272	3887	2611
YAL007C	2899	2740	2437	2886	2881	2548	3265	3210	3715	3027	2688	3111	2583	2421	2130	2576	2498	2534	1477	1679	1361	1568
YAL005C	4347	3793	71701	72435	50165	48112	24656	19927	45582	39782	65691	71582	92946	87029	83818	101162	118226	101333	102263	114898	88545	74922
YAL003W	38348	33970	21588	24704	34724	30546	43018	40506	48255	38904	24672	29730	22377	20790	19547	23147	22369	21953	19892	23950	25352	24597
YAL002W	954	848	1664	1605	1274	1175	1143	1059	1522	1061	1474	1577	1892	1771	1843	2015	2668	2220	3344	3416	4526	3750
YAL001C	1481	1378	1905	2004	1516	1344	1511	1347	1868	1320	1702	1858	1957	1932	1705	2070	2372	1931	2197	2305	2416	1700
YAR002W	2003	1771	1908	1880	2370	2221	2255	2068	2251	1775	1593	1765	1541	1376	1253	1494	1400	1294	1109	1237	1294	1240
YAR002C-A	3283	3099	2673	3020	3485	3009	4076	3922	4249	3591	3127	3518	3130	2981	2846	3510	3523	3352	2847	3203	2795	3039
YAR003W	1075	1062	1050	1114	1251	1078	1237	1092	1312	950	905	1051	886	842	791	882	892	813	696	892	914	860
YAR007C	2045	1964	2675	2762	3165	3006	2564	2338	3316	2466	2900	3160	3079	2729	2787	3192	2837	2959	1564	1832	1416	1705
YAR008W	621	525	205	200	703	664	729	644	704	599	415	446	371	334	452	457	473	469	257	323	285	402
